x F R' F' M F R F'  (7sq*) 
x U' F' U F' M' F U' F M' U' M' U' U'  (13sq) 
x M U F U F M F' U' F' U M' U' U'  (13sq) 
x M U F' U F' M F U' F U M' U' U'  (13sq) 
x F' R' F M' F' R F U' U' M' M' U' U'  (13sq) 
x M' M' U M U' M' U' M U' M' M' U' U'  (13sq) 
x U' U' F L F M' F' L' F' M' M' U' U'  (13sq) 
x M' U' B' B' U M U' B' B' U' M U' U'  (13sq) 
x U' M B' L' B' M' B L B U' M U' U'  (13sq) 
x B' R B M B' R' B M' U' U' M U' U'  (13sq) 
x M' U R B' M' B U' B M' B' U R' U'  (13sq) 
x M U R M' F' L F' M F L' F R' U'  (13sq) 
x M U L D' R M' F' M F L' F R' U'  (13sq) 
x' M D L U' L U' M U R' M F R' U'  (13sq) 
x M U R' M' F' L F' M F L' F R U'  (13sq) 
x M' U L' R' B M' B' B' M' B L R U'  (13sq) 
x L' U' M' M' U L U F' U' M' U F U'  (13sq) 
x U' U' M U' M' F' L F' M F L' F U'  (13sq) 
x F R' F' R M U F' U L' U' L F U'  (13sq) 
x U F' R' M D F' M F D' R M' F U'  (13sq) 
x M U M' F' R M' U' M U R' M F U'  (13sq) 
x D U F' D' L' U' M U L D F D' U'  (13sq) 
x U L U' F R' F' M F R F' U L' U'  (13sq) 
x U L F' L' F U' M U F' L F L' U'  (13sq) 
x F U' R U R' F' M U F' L F L' U'  (13sq) 
x U L' U' F R' F' M F R F' U L U'  (13sq) 
x M U L' B M' F' F' M B' F' F' L U'  (13sq) 
x U L' F' L' F U' M U F' L F L U'  (13sq) 
x M U L' B D' D' M D' D' M' B' L U'  (13sq) 
x M' U L' B U' U' M' U' U' M' B' L U'  (13sq) 
x M U L' B' M' U' U' M U' U' B L U'  (13sq) 
x M' U L' B' M' D' D' M' D' D' B L U'  (13sq) 
x M U L' B' F' F' M F' F' M' B L U'  (13sq) 
x U' U' M' U' L' B M' B' B' M' B L U'  (13sq) 
x M' M' U B U L' B M' B' L U' B' U'  (13sq) 
x M' U B L' B M' B' B' M' B L B' U'  (13sq) 
